category,text
entertainment,berlin cheer antinazi film german movie antinazi resistance heroine draw loud applause berlin film festival sophie scholl final day portray final day member white rise movement scholl arrest behead brother han distribute leaflet condemn abhorrent tyranny adolf hitler director marc rothemund say feeling responsibility keep legacy scholls go must somehow keep idea alive add film draw transcript gestapo interrogation scholl trial preserve archive communist east germany secret police discovery inspiration behind film rothemund work closely survive relative include one scholl sister ensure historical accuracy film scholl member white rise resistance group first start distribute antinazi leaflet summer arrest drop leaflet munich university call day reckon adolf hitler regime film focus six day scholl arrest intense trial saw scholl initially deny charge end defiant appearance one three german film vie top prize festival south african film version bizet tragic opera carmen shot cape town xhosa language also premier berlin festival film entitle ucarmen ekhayelitsha carmen khayelitsha township story set perform strong music theatre troupe debut film performance film first south african feature year second nominate golden bear award
business,virgin blue share plummet share australian budget airline virgin blue plunge warn steep fall full year profit virgin blue say profit tax year march would lower previous year sluggish demand report previously november december continue say virgin blue chief executive brett godfrey virgin blue own richard branson struggle fend pressure rival jetstar cut full year passenger number forecast approximately virgin blue report fall first quarter profit august due tough competition november first half profit due slack demand rise fuel cost virgin blue launch four year ago roughly one third australia domestic airline market national carrier qantas fight back budget airline jetstar take sky may sydneylisted virgin blue share recover slightly close wednesday share major shareholder patrick corporation own virgin blue drop close
business,crude oil price back cold weather across part unite state much europe push u crude oil price barrel first time almost three month freeze temperature heavy snowfall increase demand heat fuel u stock low fresh fall value dollar help carry price mark first time since november barrel u crude oil close new york tuesday opec member say tuesday saw reason cut output although last year peak barrel reach october price well average brent crude also rise london trading add close much western europe north east america shiver unseasonably low temperature recent day decline u dollar fiveweek low euro also serve inflate price dollar move sharply overnight oil follow say chris furness senior market strategist cast dollar continue weaken oil obviously high several opec member say cut production unlikely cite rise price strong demand oil asia agree need cut supply price much fathi bin shatwan libya oil minister tell reuters think need cut unless price fall barrel add opec closely watch global stock ensure excessive supply market arrival spring northern hemisphere focus attention stockpile u crude gasoline high time last year heavy stockpile could help force price low demand eas
politics,hague give pm ambition former conservative leader william hague say stand leadership give ambition prime minister mr hague tell daily telegraph would find life dominate politics bore unfulfilling mr hague step party election defeat rule return front bench also tell paper hope remain mp richmond north york start family wife ffion mr hague recently publish biography william pitt younger also say wanted continue write book speechwriting tell newspaper know whether ever go back front rush ask would stand leadership mr hague reply definitely determination stay away central role disappoint senior conservative member say party need tim collins shadow education secretary say last week would huge boost party mr hague return front bench mr hague become mp leader opposition say feel fortunate age cram entire political career cabinet leader party branch thingsit liberate feel mr hague add may misjudge ambition prime minister maybe drive politics think say
sport,moya emotional davis cup win carlos moya describe spain davis cup victory highlight career beat andy roddick end usa challenge seville moya make miss spain victory injury beat roddick give host unassailable lead wake many night dream day say moya energy focus today live today think live spain davis cup title come two year ago valencia beat australia moya nickname charly admit davis cup dream bit nervous outset people say obsessed think well way help reach goal obsess really incredible get win point really something spanish captain jordi arrese say charly play great game opportunity let u lose three time roddick day beat wait year position spain victory also remarkable performance rafael nadal beat roddick opening single age year day mallorcan become young player win davis cup great way finish year say nadal afterwards u coach patrick mcenroe want roddick rest team play tennis clay hone skills surface think help guy even slow hard court learn mix thing little bit play little bit smarter tactically well obviously unrealistic say go start play constantly clay schedule certainly think put work appropriate time play couple event play guys best stuff say mcenroe roddick leave frustrated losing single slow clay seville olympic stadium tough felt like whole time one top three claycourters world say american chance convert bottom line well u weekend come take care business beat u simple
business,korean credit card firm rescue south korea large credit card firm avert liquidation follow one trillion bailout lg card threaten collapse huge debt firm creditor former parent step rescue consortium creditor lg group family own conglomerate put stabilise firm lg card seven million customer collapse would send shockwaves country economy firm creditor lg card try agree deal secure future several week take control company january avoid bankruptcy bn bailout threaten delist company move would trigger massive debt redemption force company bankruptcy unless agreement reach future funding lg card need financial aid laah chonggyu executive director korea development bank one firm creditor say agreement see trillion debt convert equity purpose capital injection avoid delist goal meet david kim analyst sejong security tell reuters south korea consumer credit market slowly recover crisis credit bubble burst million consumer fell behind debt repayment lg card return profit september need capital avoid thrown market south korea stock exchange delist firm debt exceed asset two year run
politics,howard back stem cell research michael howard back stem cell research say important people frightened future controversial issue feature recent u presidential election george bush oppose extend tory leader argue moral case embrace science could help victim alzheimer parkinson motor neurone disease believe duty offer hope million people suffer devastate illness say use embryonic stem cell uk already allow stem cell master cell ability develop body tissue type scientist hope grow cell laboratory programme form specific tissue kidney heart even brain tissue mr howard acknowledge genuine concern stem cell research argue frightened change nostalgic past must optimistic future politician must create right framework great potential science harness benefit mankind life expectancy average briton around mids society responsibility enhance quality people live grow old know many people concerned stemcell research fearful meddle see stuff soul respect concern also believe duty offer hope million people suffer devastate illness like parkinson multiple sclerosis motor neurone disease alzheimer saw paper today possibly heart problem mr howard acknowledge easy answer issue necessary courage know morally right added course stem cell still recent discovery research need do must look potential responsible grownup way hop million people rest could achieve former superman actor late christopher reeve advocate research paralyse horse rid accident mr howard make remark speech westminster conservative national woman committee ambition value
sport,connors boost british tennis former world number one jimmy connors plan longterm relationship lawn tennis association help unearth next tim henman american spent three day lta annual elite performance winter camp la manga early week britain right attitude say connors involve lta good shortterm arrangement confuse kid ask lta chief executive john crowther add relationship jimmy already start develop coach player say u like want use jimmy number week year hope begin good longterm relationship camp play host lead senior junior player include greg rusedski arvind parmar anne keothavong la manga amazing site take bunch kid want best say connors speak queen club london impressed coach way kid go workout feel put every practice interest see kid desire passion bring coach surround instill importance work practice something buy know give give back effort every minute practice speak la manga lta performance director david felgate tell bbc sport jimmy fantastic player coach humble consider achieve worked coach hopefully grow get individual relationship player get know make clear word go want shortterm weekayear job life passion coach respect want involve real input would stake reputation something go successful connors also agree commentate bbc next year wimbledon championship work second week tournament
business,japanese banking battle end japan sumitomo mitsui financial withdrawn takeover offer rival bank ufj holding enable latter merge mitsubishi tokyo sumitomo boss tell counterpart ufj decision friday clear way conclude trillion yen bn deal mitsubishi deal would create world big bank asset trillion yen trillion sumitomo exit end high profile fight japanese bank history ufj holding japan fourthlargest bank centre fierce bid battle last year sumitomo japan thirdlargest bank table high offer ufj rival value company bn however ufj management know prefer offer mitsubishi tokyo financial group mtfg japan secondlargest bank concern also raise sumitomo ability absorb ufj former admit defeat believe market investor accept ufjmtfg merger sumitomo say statement give ongoing integration ufj mtfg operation persist proposal may best interest shareholder ufj mitsubishi takeover ufj japan largestever takeover deal still approve shareholder two firm however expect formality sumitomo may turn attention deepen tie daiwa security another japanese financial firm two set merge venture capital operation speculation could lead fullblown merger japanese bank increasingly seek alliance boost profit
tech,game maker fight survival one britain large independent game maker argonaut game put sale londonbased company behind harry potter game sack employee due severe cash crisis administrator tell bbc news online sell argonaut way save run cash argonaut warn low cash day ago share suspend trading london stock exchange argonaut make game year one large independent game developer uk along headquarters north london operate studio cambridge sheffield argonaut behind harry potter game provide healthy flow cash company like software developer argonaut need constant flow deal publisher sign trouble emerge august warn heading loss financial year due delay sign new contract game new deal delay lead argonaut warn midoctober run cash suspend trading share london stock exchange part costcutting measure employee fire news loss come knew go redundancy say jason parkinson one game developer sack argonaut lot people suspect argonaut trouble time tell bbc news online mr parkinson say staff tell job loss necessary save argonaut go start year company employ people late round cut staff argonaut headquarters edgware north london morpheme office kentish town london add monster base cambridge argonaut call administrator david rubin partner friday find way rescue company collapse spend weekend go company finance conclude way save business put sale administrator tell bbc news online cost restructuing would high partly overhead company four premise across uk say hopeful could save job sell business say expression interest several quarter look quick sale administrator say would ensure staff make redundant would receive wage redundancy holiday pay due hopefully christmas
tech,security warn fbi virus u federal bureau investigation warn computer virus spread via email purport fbi email show come fbigov address tell recipient access illegal website message warn internet use monitor fbi internet fraud complaint center attachment email contain virus fbi say message asks recipient click attachment answer question internet use rather questionnaire attachment contains virus infects recipient computer accord agency clear virus infect computer user warn never open attachment unsolicited emails people know recipient similar solicitation know fbi engage practice send unsolicited email public manner fbi say statement bureau investigate phoney email agency earlier month shut fbigov account use communicate public security breach spokeswoman say two incident appear unrelated
tech,halo herald traffic explosion grow popularity online gaming could spell problem net service firm warn network monitoring company sandvine issue warn follow analysis show traffic xbox game network increase fourfold launch day halo november traffic explosion continue december say sandvine service provider need make sure network cope increase demand bandwidth well popular singleplayer title halo connect microsoft subscriptionbased broadband network xbox live gamers want play online create clan team take others see well compare surge number huge demand bandwidth wakeup call industry must ensure network cope increase traffic say sandvine chief technology officer marc morin bid cope ease congestion provider increasingly make network intelligent find use bandwidth could become common charge people amount bandwidth use explosion xbox live traffic attribute halo see clarion call say isps need enhance broadband experience highend user prioritise reserve bandwidth game add one main factor spoil online gaming lag noticeable delay gamer click mouse keyboard happen online game world gamers tend migrate toward network low lag analyse traffic become increasingly important service provider hold bandwidthhungry gamers say lindsay schroth analyst research firm yankee group competitive broadband environment operator need differentiate way offer access service like liveplay gaming say country korea high level fast net connection home online game hugely popular
sport,bates seal takeover ken bates complete takeover leeds unite yearold former chelsea chairman seal deal gmt friday buy stake club say delighted stepping mantel fantastic club recognise leeds great club fall hard time lot hard work ahead get club back belong premiership help fan everything bates buy stake guise genevabased company know forward sport fund reveal part plan buy back leeds elland road stadium thorp arch training ground due course go tough jon first task stabilise cash flow sort remain creditor bat add light end long tunnel past year matter firefighting start run club outgo leeds chairman gerald krasner say deal ensures medium long term survival club believe mr bates proposal totally benefit club content mr bat leeds united continue consolidate move forward take leeds united march club debt since date board succeed reduce debt work tirelessly solve problem leeds unite eighty percent problem already overcome come agreement mr bat secure ongoing success krasner reveal consortium ask remain background club undisclosed period help ensure smooth handover stay unpaid capacity peter lorimer continue role director point contact fan peter mccormick serve consultant incoming board outgo director agree leave loan company next four year leeds newlook board understood lorimer join former chelsea finance director yvonne todd bat lawyer mark taylor krasner refuse give detail finance involve takeover tell bbc five live go figure ken want give tell money use dea l money current board last four month never saw cheque week one person stretch figure discuss internal arrangement bates step chelsea chairman march last year follow roman abramovich takeover stamford bridge may make proposal invest sheffield wednesday reject club sebastien sainsbury close takeover leeds withdraw offer last week effort fail reveal would take stage takeover club also lose next six month club brink administration deduction point football league bat arrival investment spar prospect
sport,cole face lengthy injury layoff aston villa carlton cole could six week knee injury striker seasonlong loan chelsea pick knock england match holland earlier month carlton action four six week bad challenge say villa bos david leary able tell whether need operation maybe next week whether operation get left chelsea cole also struggle ankle problem earlier season unable rest leary shortage striker return fitness darius vassell four month break ankle emergence luke moore alleviate villa manager problem department
tech,mobile audio enters new dimension mobile phone move closer ubiquitous allinone medium player audio become ever important good sound small device sound buzz bee jump leave right disappear around back head surround sound demo unremarkable heard multispeaker home cinema system startle emerge small mobile phone british firm sonaptic one number company develop audio technology emerge stereo speaker firm amd sr offer stereowidening technology mobile phone sonaptic manage director david monteith say firm company offer positional audio mobile quite basic technology make sound seem bit big headphone bit nice noone really tried make proper positional audio individual channel move around sonaptic work japanese mobile network ntt docomo set standard audio mobile phone last month handset nec fujitsu mitsubishi release japanese marker chip produce yamaha rohm sonaptic technology technology around pc game console time make efficient go small consumer device like mobile phone say mr monteith technology work apply science psychoacoustics grow medical research do company research director dr alastair sibbald basically try fool ear think sound come area actually brain use certain bit information effectively synthesise mobile phone handset structure ear work encoder sound help brain understand sound emanate sonaptic audio processing algorithms mimic encode give impression sound come leave right behind listener fact come single source mr montieth say sound one side get one ear right bend around head get left ear shape ear cause difference sound one ear synthesise difference sonaptic hope technology big impact grow market mobile game music downloading handhelds often limitation screen small definition want get impact medium run either movie game watch tv want immersive technology help fishing game first title use technology create sound field gamer play drive game shoot em ups use technology development technology also use music give song much expansive immersive feel sonaptic offer technology chip software release new version significantly improve efficiency audio processing important use processor otherwise able play game handset explain mr montieth company look u european market work network vodafone focus first japan advance mobile phone market know japan would first place handset could use technology handset uk next six month
sport,moya fight back indian title carlos moya become first man successfully defend chennai open title beat fourtimes finalist paradorn srichaphan spaniard donate prize money relief effort victim asian tsunami final close throughout thai second seed srichaphan winner close first set moya take second set bounce back decider force win tiebreak moya confirm afterwards donate prize money tournament tsunami victim hop make difference life contribution follow pledge four player donate prize money tournament go ahead december disaster far claim least life scrichapan say would donate unspecified amount relief work thailand people kill atp announce would contribute u tournament fee unicef emergency relief fund tamil nadu atp tour sponsor mercedes say would also contribute increase atp donation u
entertainment,career honour actor dicaprio actor leonardo dicaprio exceptional career honour santa barbara international film festival star present award martin scorsese direct oscarnominated movie aviator lifetime achievement award completely utterly surreal give year old dicaprio say almost year do quite film retrospective movie show really exciting really love add want rest life dicaprio begin movie career horror film critter move onto role basketball diary romeo juliet titanic gang new york achievement award create commemorate california festival th anniversary coincide dicaprio portrayal millionaire howard hughes aviator veteran actress jane russell star hughes film outlaw say impressed dicaprio quest authenticity previously discuss role happy dicaprio come cared come find hughes really like say aviator take pole position year oscars race nomination include nomination best film best actor dicaprio best director scorsese
tech,mobile gig aim rock g forget go crowd bar enjoy gig late darling music press could also live gig mobile via late third generation g video phone rock outfit rooster playing bill first ever concert broadcast phone tuesday even london venue minute gig due phone cast g mobile phone operator g technology let people take watch send video clip phone well swap data much faster g network like gsm people g phone uk already download football music clip handset fan londonbased band pay five pound ticket need g handset pay come go much like expect customer mobile say spokesperson belinda henderson like go concert hall except virtually company behind trial hope learn people use video phone look long people stay average streams people may stay whole time may dip say ms henderson actually expect people dip mobile thing look music way persuade people take late video phone already plan regular gig throughout intermission course would still able make phone call
politics,terror suspect face house arrest uk citizen suspect involvement terrorism could face house arrest part series new measure outline home secretary come law lord rule detention foreign terror suspect without trial breach human right charles clarke plan control order mean anyone suspect involved terrorism could subject house arrest curfews tag law society dub mr clarke new proposal abuse power deal already seek deport foreign detainee mainly hold belmarsh prison london current law introduce u terror attack september mr clarke say effort would continue deport country origin algeria tunisia egypt jordan without face torture death propose change prompt house lord rule home secretary could order british citizen foreign suspect could deport face house arrest measure restriction movement limit use telephone internet british citizen include change law lord say current power discriminatory could use foreign suspect mr clarke also say intelligence report show british national play significant role terror threat human right lawyer clive staffordsmith say plan abuse human right britain mr clarke say prosecution government first preference promised power would use serious case independent scrutiny judge tell mp remain public emergency threaten life nation accept law lord rule argue detention power help prevent attack deter terrorist current detainee would free new power place still consider national security threat tell mp call rule wiretap intercept evidence allow used court mr clarke refuse back change say intercept evidence small part case men could use could put source live risk terror suspect hold indefinitely belmarsh prison london conservative shadow home secretary david davis worry extend special power cover british citizen warn throughout history internment generally backfire resentment creates unless process clearly home secretary could find confine one know terrorist recruit unknown terrorist suggest change law let securitycleared judge view evidence gather phonetapping could allow terror case come court liberal democrat spokesman mark oaten also back use wiretap evidence say standard proof new power would high indeed ask whether minister look measure fit human right law shami chakrabarti human right group liberty join call intercept evidence allow trial say adherence rule law game cat mouse government swap one human right opt another
entertainment,halloween writer debra hill die screenwriter producer debra hill best know work horror classic halloween die los angeles age hill suffer cancer cowrote film star jamie lee curtis babysitter terrorise psychopath direct john carpenter make worldwide record independent film time hill also work carpenter escape new york fog bear new jersey hill begin career production assistant work way rank become assistant director secondunit director begin collaborate carpenter regard many pioneer woman film take job commonly take men back start woman industry say assumed makeup hair person script person never assume writer producer take look around realise many woman carve niche carpenter say work hill one greatest experience life ground trailblazed begin follow anyone incredibly capable talented say carpenter hill collaborate number halloween sequel include halloween ii halloween resurrection halloween curse michael myers later career hill form production company friend lynda obst make string hit film include oscar nominee fisher king teen comedy adventure babysitting film include stephen king adaptation dead zone clue comedy base board game cluedo pursue work tv although reunited carpenter escape la sequel escape new york time death work film last two men pull rubble twin tower follow september terror attack also coproducing remake fog due release early next year
politics,royal couple watch nation mood prince charles camilla parker bowles await nation reaction announce married april mr parker bowles take title hrh duchess cornwall civil ceremony hold windsor castle daily telegraph poll people suggest twothirds briton support couple decision marry think mr parker bowl become princess consort plan charles become king believe title think become queen poll also find majority briton would prefer monarchy miss generation queen hand throne grandson prince william death abdication thursday night prince charles mrs parker bowles host dinner windsor castle first public appearance since announce engagement mr parker bowles say prince go one knee propose add come earth display diamond engagement ring royal family heirloom reporter charles say wifetobe absolutely delight marriage end year speculation relationship date back queen duke edinburgh say news make happy prince william harry say happy wish couple luck future wed civil ceremony follow service prayer dedication st george chapel archbishop canterbury dr rowan williams preside marriage likely sensitive issue mr parker bowles divorce former husband still alive become king charles would supreme governor church england anglican remain opposed remarriage divorcee divorce diana disappointment country felt diana treat open sense disillusionment prince charles say ros coward write authorised biography diana princess wale archbishop canterbury say pleased prince charles mrs camilla parker bowl decide take important step tony blair say delighted couple offer congratulation conservative leader michael howard liberal democrat leader charles kennedy australia prime minister john howard also offer congratulation add decision marry sensible good thing mr parker bowles join prince numerous engagement recent year mostly even event prince trust clarence house staff pain point attend event private capacity
tech,firefox browser take microsoft microsoft internet explorer serious rival longawaited firefox web browser release people get excite new software release especially program game music movie player release first full version firefox manage drum respectable amount prelaunch fervour fan software band together raise cash pay advert new york time announce version browser available release firefox november might even cause head turn microsoft program steadily win people away software giant internet explorer browser firefox create mozilla foundation start former browser maker netscape back much development work do since go firefox make first appearance name february early incarnation core technology call phoenix firebird since software gain praise convert least large number security problem come light microsoft internet explorer rival ie get boost late june two u computer security organisation warn people avoid microsoft program avoid fall victim serious vulnerability internet monitoring firm websidestory chart grow population people use firefox browser say responsible slowly erode stranglehold ie july year accord websidestory internet explorer use web surfer figure remain static year july ie use population drop end october stood mozilla foundation claim firefox download almost eight million time publicly say would happy garner window use netbrowsing population firefox prove popular moment far few security hole internet explorer innovation lack microsoft program instance firefox allow page different website arrange tabs user switch easily block popups neat way find text page let search page browse one powerful feature firefox many hundred extras extension produce mozilla foundation open source organisation mean creator browser happy others play around core code program result many different addons extension browser include everything version familiar google toolbar homeland security monitor keep user aware current threat level firefox use call firebird phoenix also grow number vocal netbased fan campaign coordinate spread firefox website attempt raise need full page advert new york time campaign set target recruit volunteer ten day campaign people sign raise ad due run sometime threeweek period late novemberearly december surplus cash use help keep mozilla foundation run microsoft face grow challenge ie hold web use population alternative browser opera safari amaya even netscape
entertainment,celebrity get skate former england footballer paul gascoigne join eastenders actress scarlett johnson bbc one strictly ice dance oneoff christmas special also star television presenter carol smillie jessica taylor libertyx celebrity pair professional skater impress panel judge win audience vote bbc yet confirm final two star battle become ice king queen veteran presenter bruce forsyth tess daly host programme follow hot heel current saturday night series strictly come dancing celebrity practise stipulate ice dance perform ice rink partner judge vote decide win contest ice rink audience make rest vote show form part bbc festive schedule ice skate duo jayne torvill christopher dean front similar celebrity ice dance show itv title star thin ice contestant star thin ice pair professional skater learn new routine every week end series one celebrity crown winner
entertainment,show mtv osbournes rock star ozzy osbourne say family make episode reality tv show osbournes end like camera around house time black sabbath singer tell reporter mtv europe award rome wife sharon also appear popular mtv show base osbournes family life agree everybody reality show do get something else say ozzy osbourne say enough work involve make series watch minute episode film day say sharon osbourne currently appear judge mentor itv talent show xfactor alongside simon cowell louis walsh earlier year top poll important people rock part guide career husband ozzy family drive force behind osbournes run three series earn family report renew popularity ozzy see sale merchandise hit mark record heavy metal artist sale tshirts accessory action figure rocket since osbournes hit screen peak osbournes regular audience eight million america tv guide magazine describe series cross simpson spinal tap osbourne loss explain popularity suppose american get kick watch crazy brit family like u make complete fool every week
